要素ID,DAOLU_ID,道路名称,几何类型,坐标系,长度（米）,最小经度,最大经度,最小纬度,最大纬度,经纬度坐标点列表
68,DAOLU_2022_68,云南路,LineString,EPSG:4326 (WGS84经纬度),729.46,118.769309,118.77225,32.061158,32.066769,"[(118.769421, 32.061158), (118.769426, 32.062132), (118.76938, 32.06275), (118.769316, 32.063372), (118.769309, 32.063889), (118.769597, 32.064293), (118.769906, 32.064763), (118.770442, 32.065222), (118.770635, 32.065384), (118.771066, 32.065755), (118.771675, 32.066231), (118.771906, 32.066453), (118.772125, 32.066671), (118.77225, 32.066769)]"
69,DAOLU_2022_69,金川河西路,LineString,EPSG:4326 (WGS84经纬度),670.89,118.75556,118.758399,32.090471,32.096015,"[(118.75556, 32.096015), (118.756848, 32.093371), (118.75741, 32.09223), (118.758066, 32.09101), (118.758189, 32.09078), (118.758399, 32.090471)]"
70,DAOLU_2022_70,热河路,LineString,EPSG:4326 (WGS84经纬度),506.11,118.737163,118.737535,32.088999,32.093553,"[(118.737163, 32.088999), (118.737382, 32.091783), (118.737535, 32.093553)]"
71,DAOLU_2022_71,湖北路,LineString,EPSG:4326 (WGS84经纬度),875.17,118.771195,118.775345,32.064143,32.071108,"[(118.775345, 32.064143), (118.775029, 32.06504), (118.774966, 32.065284), (118.774502, 32.066292), (118.774287, 32.066611), (118.773773, 32.067338), (118.773484, 32.06776), (118.772936, 32.068283), (118.772314, 32.068929), (118.771863, 32.069647), (118.771774, 32.069831), (118.771604, 32.070182), (118.771541, 32.070311), (118.771195, 32.071108)]"
72,DAOLU_2022_72,淮滨路,LineString,EPSG:4326 (WGS84经纬度),1052.53,118.732812,118.741435,32.069424,32.075246,"[(118.732812, 32.075246), (118.73326, 32.074994), (118.734075, 32.074467), (118.735207, 32.073833), (118.735341, 32.073757), (118.73592, 32.073339), (118.736346, 32.073246), (118.736623, 32.073187), (118.736972, 32.072957), (118.737401, 32.072739), (118.73768, 32.072629), (118.738238, 32.072303), (118.738646, 32.072012), (118.739032, 32.071648), (118.739525, 32.071266), (118.740255, 32.070557), (118.740472, 32.070337), (118.741175, 32.069623), (118.741435, 32.069424)]"
73,DAOLU_2022_73,热河南路,LineString,EPSG:4326 (WGS84经纬度),1582.39,118.734987,118.737163,32.074865,32.088999,"[(118.734987, 32.074865), (118.735285, 32.075679), (118.735546, 32.077577), (118.735557, 32.077644), (118.735856, 32.079256), (118.736019, 32.080334), (118.73615, 32.081206), (118.736339, 32.082465), (118.736679, 32.08473), (118.736967, 32.087254), (118.737163, 32.088999)]"
74,DAOLU_2022_74,虎踞关,LineString,EPSG:4326 (WGS84经纬度),804.8,118.75791,118.759257,32.049999,32.057069,"[(118.759257, 32.049999), (118.759081, 32.050496), (118.758453, 32.052641), (118.758351, 32.053521), (118.75791, 32.055053), (118.758443, 32.057069)]"
75,DAOLU_2022_75,黑龙江路,LineString,EPSG:4326 (WGS84经纬度),1299.64,118.765713,118.778885,32.089153,32.091022,"[(118.778885, 32.089271), (118.776808, 32.089249), (118.77472, 32.089233), (118.774526, 32.089236), (118.774028, 32.089265), (118.773876, 32.089276), (118.773447, 32.089286), (118.773039, 32.089284), (118.772356, 32.089257), (118.770777, 32.089175), (118.77061, 32.089167), (118.770321, 32.089153), (118.770075, 32.089162), (118.769848, 32.089175), (118.76967, 32.089193), (118.769468, 32.089227), (118.769234, 32.089268), (118.769004, 32.08932), (118.768866, 32.089366), (118.768523, 32.089494), (118.767997, 32.089741), (118.767796, 32.089869), (118.767473, 32.090042), (118.767021, 32.090285), (118.766646, 32.090482), (118.766021, 32.090809), (118.765713, 32.091022)]"
76,DAOLU_2022_76,江苏路,LineString,EPSG:4326 (WGS84经纬度),528.09,118.764115,118.765903,32.06378,32.067418,"[(118.764299, 32.06378), (118.765104, 32.064442), (118.765857, 32.065122), (118.765903, 32.065581), (118.765758, 32.065886), (118.765445, 32.066284), (118.764932, 32.066791), (118.764567, 32.067069), (118.764115, 32.067418)]"
77,DAOLU_2022_77,宁海路,LineString,EPSG:4326 (WGS84经纬度),1153.33,118.764095,118.766522,32.053549,32.063561,"[(118.764095, 32.063561), (118.764139, 32.063469), (118.764193, 32.063327), (118.765017, 32.061542), (118.765054, 32.061429), (118.765809, 32.059697), (118.766093, 32.058938), (118.766485, 32.05796), (118.766522, 32.057518), (118.76645, 32.056819), (118.766449, 32.056812), (118.766393, 32.056091), (118.766373, 32.055834), (118.766363, 32.055701), (118.766351, 32.055611), (118.766201, 32.054081), (118.766043, 32.053549)]"
78,DAOLU_2022_78,金贸大街,LineString,EPSG:4326 (WGS84经纬度),1431.49,118.774545,118.775444,32.07952,32.092393,"[(118.775444, 32.07952), (118.775332, 32.080825), (118.775133, 32.083228), (118.774961, 32.0853), (118.774874, 32.086746), (118.774871, 32.086807), (118.774726, 32.089152), (118.77472, 32.089233), (118.774545, 32.091592), (118.774713, 32.092393)]"
79,DAOLU_2022_79,清凉门桥,LineString,EPSG:4326 (WGS84经纬度),271.99,118.750119,118.752461,32.047989,32.0493,"[(118.750119, 32.047997), (118.750277, 32.047989), (118.75058, 32.048034), (118.750784, 32.048105), (118.751106, 32.048266), (118.751368, 32.048466), (118.752461, 32.0493)]"
80,DAOLU_2022_80,中山北路,LineString,EPSG:4326 (WGS84经纬度),5221.92,118.737163,118.778954,32.060751,32.088999,"[(118.778954, 32.060751), (118.778591, 32.061284), (118.777899, 32.061897), (118.776651, 32.062821), (118.775345, 32.064143), (118.773424, 32.065685), (118.761136, 32.076395), (118.754417, 32.082253), (118.750004, 32.086019), (118.748784, 32.087133), (118.748237, 32.087529), (118.747283, 32.088022), (118.745709, 32.08832), (118.737163, 32.088999)]"
81,DAOLU_2022_81,西桥,LineString,EPSG:4326 (WGS84经纬度),402.27,118.765104,118.769309,32.063889,32.064442,"[(118.765104, 32.064442), (118.765662, 32.06431), (118.766198, 32.064228), (118.766939, 32.064128), (118.769309, 32.063889)]"
82,DAOLU_2022_82,白云亭路,LineString,EPSG:4326 (WGS84经纬度),270.86,118.735856,118.738691,32.078878,32.079256,"[(118.735856, 32.079256), (118.738691, 32.078878)]"
83,DAOLU_2022_83,盐仓桥,LineString,EPSG:4326 (WGS84经纬度),620.58,118.744016,118.7468,32.088585,32.093643,"[(118.7468, 32.088585), (118.745263, 32.091116), (118.745105, 32.091355), (118.744513, 32.092456), (118.744332, 32.092792), (118.744016, 32.093643)]"
84,DAOLU_2022_84,宁海路,LineString,EPSG:4326 (WGS84经纬度),362.92,118.764011,118.76408,32.063876,32.067146,"[(118.764018, 32.067146), (118.76408, 32.064476), (118.764011, 32.063876)]"
85,DAOLU_2022_85,马台街,LineString,EPSG:4326 (WGS84经纬度),1092.37,118.763761,118.771195,32.071108,32.078549,"[(118.771195, 32.071108), (118.771179, 32.071151), (118.77108, 32.071356), (118.770554, 32.071938), (118.770335, 32.072151), (118.770276, 32.072208), (118.769975, 32.072502), (118.769428, 32.073111), (118.768677, 32.073611), (118.767411, 32.074493), (118.766377, 32.075478), (118.765951, 32.075883), (118.765865, 32.075963), (118.765147, 32.076665), (118.76401, 32.07812), (118.763761, 32.078549)]"
86,DAOLU_2022_86,内环北线,LineString,EPSG:4326 (WGS84经纬度),234.72,118.756337,118.758718,32.072802,32.073402,"[(118.758718, 32.072802), (118.757739, 32.072999), (118.756337, 32.073402)]"
87,DAOLU_2022_87,拉萨路,LineString,EPSG:4326 (WGS84经纬度),493.4,118.76447,118.767972,32.048108,32.051102,"[(118.767972, 32.048108), (118.767455, 32.048771), (118.767015, 32.049336), (118.766919, 32.04946), (118.766252, 32.049553), (118.765823, 32.049614), (118.764489, 32.051075), (118.76447, 32.051102)]"
88,DAOLU_2022_88,南昌路,LineString,EPSG:4326 (WGS84经纬度),751.73,118.770903,118.778837,32.082979,32.083448,"[(118.770903, 32.082979), (118.770967, 32.082984), (118.771359, 32.083002), (118.771815, 32.083007), (118.772496, 32.083097), (118.773306, 32.083138), (118.773837, 32.083197), (118.774647, 32.083188), (118.775133, 32.083228), (118.775484, 32.083257), (118.776128, 32.083316), (118.776761, 32.083338), (118.777099, 32.083338), (118.77734, 32.083338), (118.778429, 32.083429), (118.778772, 32.083447), (118.778837, 32.083448)]"
