原始要素ID,DIKUAI_ID,核心地块编号,几何类型,坐标系,面积（平方米）,最小经度,最大经度,最小纬度,最大纬度,完整GeoJSON坐标
10,DIKUAI_2023_0012,0012,Polygon,EPSG:4326 (WGS84经纬度),2633.46,118.745201,118.745843,32.09348,32.093991,"[[[118.745612, 32.093991], [118.745843, 32.09357], [118.7455, 32.09348], [118.745437, 32.093567], [118.745201, 32.093871], [118.745612, 32.093991]]]"
11,DIKUAI_2023_0013,0013,Polygon,EPSG:4326 (WGS84经纬度),2254.3,118.772196,118.772779,32.083945,32.084223,"[[[118.772212, 32.084223], [118.772779, 32.084209], [118.772777, 32.08416], [118.772775, 32.083945], [118.772196, 32.083949], [118.772212, 32.084223]]]"
12,DIKUAI_2023_0014,0014,Polygon,EPSG:4326 (WGS84经纬度),112174.36,118.744011,118.747115,32.081005,32.08519,"[[[118.745995, 32.085144], [118.745996, 32.085134], [118.745993, 32.084617], [118.745994, 32.084589], [118.745992, 32.084575], [118.74599, 32.084501], [118.745991, 32.084414], [118.74599, 32.084351], [118.745987, 32.084265], [118.745988, 32.084226], [118.745991, 32.084156], [118.746014, 32.084153], [118.746194, 32.084154], [118.74626, 32.084148], [118.74629, 32.084143], [118.746374, 32.084126], [118.746407, 32.084122], [118.746461, 32.084107], [118.746474, 32.084102], [118.746522, 32.08408], [118.746584, 32.084045], [118.74663, 32.084009], [118.746672, 32.083975], [118.746688, 32.083949], [118.746702, 32.083914], [118.746707, 32.083879], [118.746708, 32.083863], [118.746708, 32.0838], [118.746708, 32.083745], [118.746703, 32.083683], [118.746692, 32.083616], [118.746689, 32.083406], [118.746709, 32.083321], [118.746725, 32.083241], [118.74674, 32.083114], [118.746754, 32.083053], [118.746784, 32.082879], [118.746799, 32.082803], [118.746812, 32.082732], [118.746828, 32.082688], [118.746853, 32.082639], [118.746909, 32.08254], [118.746942, 32.082474], [118.746988, 32.082392], [118.746998, 32.082379], [118.747005, 32.082365], [118.747114, 32.082136], [118.747115, 32.082129], [118.747115, 32.082122], [118.747114, 32.082115], [118.747112, 32.082108], [118.747108, 32.082101], [118.746984, 32.082029], [118.746805, 32.081925], [118.746767, 32.081902], [118.746584, 32.081767], [118.7465, 32.081833], [118.746235, 32.081733], [118.745969, 32.081633], [118.745488, 32.081431], [118.744453, 32.081005], [118.744363, 32.081143], [118.744011, 32.081271], [118.744155, 32.082136], [118.744226, 32.082265], [118.744289, 32.082363], [118.744293, 32.082388], [118.744303, 32.082413], [118.744347, 32.08258], [118.7444, 32.082768], [118.744432, 32.082884], [118.744488, 32.08308], [118.744515, 32.083206], [118.744564, 32.083387], [118.744593, 32.083506], [118.744622, 32.083638], [118.74463, 32.08367], [118.744647, 32.083729], [118.744685, 32.083868], [118.744689, 32.083886], [118.744709, 32.083969], [118.744729, 32.084066], [118.744747, 32.084128], [118.744759, 32.084184], [118.744764, 32.084215], [118.744767, 32.084254], [118.744766, 32.084274], [118.744762, 32.084294], [118.744724, 32.084429], [118.744667, 32.084615], [118.744649, 32.084687], [118.744643, 32.084726], [118.744642, 32.084747], [118.744643, 32.084757], [118.744645, 32.084767], [118.744649, 32.084777], [118.744656, 32.084786], [118.744663, 32.084794], [118.744672, 32.084801], [118.744682, 32.084807], [118.745092, 32.08494], [118.745194, 32.084976], [118.745564, 32.085092], [118.745916, 32.085189], [118.745927, 32.08519], [118.745937, 32.08519], [118.745948, 32.085188], [118.745958, 32.085185], [118.745967, 32.085181], [118.745975, 32.085175], [118.745982, 32.085168], [118.745988, 32.085161], [118.745992, 32.085152], [118.745995, 32.085144]]]"
13,DIKUAI_2023_0015,0015,Polygon,EPSG:4326 (WGS84经纬度),16035.93,118.77534,118.776274,32.08078,32.082447,"[[[118.776185, 32.08194], [118.776221, 32.081496], [118.776274, 32.080827], [118.775473, 32.08078], [118.775353, 32.082296], [118.775349, 32.082312], [118.775347, 32.082328], [118.77534, 32.08242], [118.77572, 32.082447], [118.775751, 32.08193], [118.776185, 32.08194]]]"
14,DIKUAI_2023_0016,0016,Polygon,EPSG:4326 (WGS84经纬度),33434.9,118.762002,118.764078,32.083149,32.084527,"[[[118.763696, 32.084527], [118.763972, 32.084188], [118.764078, 32.083149], [118.762264, 32.083367], [118.762236, 32.083486], [118.762219, 32.083558], [118.762082, 32.084144], [118.762065, 32.084217], [118.762002, 32.084484], [118.763696, 32.084527]]]"
15,DIKUAI_2023_0017,0017,Polygon,EPSG:4326 (WGS84经纬度),11966.27,118.74778,118.748978,32.087549,32.089016,"[[[118.748897, 32.089011], [118.748903, 32.089007], [118.748915, 32.089007], [118.748926, 32.089005], [118.748937, 32.089002], [118.748947, 32.088997], [118.748957, 32.088991], [118.748964, 32.088984], [118.74897, 32.088975], [118.748975, 32.088966], [118.748978, 32.088957], [118.748978, 32.088947], [118.748977, 32.088937], [118.748974, 32.088927], [118.748969, 32.088918], [118.748899, 32.088498], [118.748802, 32.088428], [118.74879, 32.088413], [118.748755, 32.088357], [118.748744, 32.088313], [118.748731, 32.088224], [118.748707, 32.088106], [118.748693, 32.088039], [118.748691, 32.087995], [118.748693, 32.087966], [118.748708, 32.087939], [118.74873, 32.087909], [118.748754, 32.087882], [118.748771, 32.087863], [118.748756, 32.087856], [118.74874, 32.087844], [118.748726, 32.087818], [118.748734, 32.087815], [118.74875, 32.087808], [118.748768, 32.087789], [118.748769, 32.087775], [118.748763, 32.087742], [118.74875, 32.087706], [118.748725, 32.087669], [118.748695, 32.087635], [118.74866, 32.087605], [118.748619, 32.087582], [118.748574, 32.087564], [118.748526, 32.087553], [118.748477, 32.087549], [118.748434, 32.087554], [118.748392, 32.087564], [118.748351, 32.087577], [118.748312, 32.087594], [118.748131, 32.087707], [118.747904, 32.087832], [118.747844, 32.087865], [118.747785, 32.087897], [118.747783, 32.087898], [118.747782, 32.0879], [118.747781, 32.087902], [118.74778, 32.087905], [118.74778, 32.087907], [118.74778, 32.087909], [118.747782, 32.087913], [118.747835, 32.087982], [118.747916, 32.088062], [118.747944, 32.088089], [118.74806, 32.088164], [118.748417, 32.08829], [118.748505, 32.088314], [118.748488, 32.08837], [118.748488, 32.088378], [118.748393, 32.088636], [118.748342, 32.08877], [118.748317, 32.088864], [118.748793, 32.088993], [118.748855, 32.089012], [118.748862, 32.089014], [118.748869, 32.089016], [118.748876, 32.089016], [118.748884, 32.089015], [118.748891, 32.089013], [118.748897, 32.089011]]]"
16,DIKUAI_2023_0018,0018,Polygon,EPSG:4326 (WGS84经纬度),61436.68,118.746363,118.748742,32.091668,32.094663,"[[[118.747918, 32.094663], [118.747959, 32.094571], [118.748025, 32.094262], [118.748182, 32.09368], [118.748228, 32.09352], [118.748366, 32.093175], [118.748742, 32.09202], [118.747248, 32.091668], [118.746959, 32.092555], [118.74694, 32.092605], [118.746784, 32.093038], [118.746765, 32.093088], [118.746564, 32.093626], [118.746536, 32.093696], [118.746436, 32.093946], [118.746363, 32.094143], [118.746364, 32.094148], [118.746367, 32.094153], [118.74637, 32.094158], [118.746374, 32.094162], [118.747918, 32.094663]]]"
17,DIKUAI_2023_0019,0019,Polygon,EPSG:4326 (WGS84经纬度),5567.74,118.743678,118.744469,32.092155,32.092965,"[[[118.744469, 32.092349], [118.743941, 32.092155], [118.743678, 32.092828], [118.744193, 32.092965], [118.744469, 32.092349]]]"
18,DIKUAI_2023_0020,0020,Polygon,EPSG:4326 (WGS84经纬度),25906.96,118.760972,118.76249,32.086318,32.088542,"[[[118.762369, 32.088542], [118.76249, 32.087954], [118.762178, 32.087777], [118.762114, 32.086318], [118.761425, 32.086335], [118.761396, 32.086397], [118.761311, 32.086577], [118.760989, 32.087236], [118.760978, 32.087273], [118.760972, 32.08731], [118.760973, 32.087348], [118.760979, 32.087386], [118.760993, 32.087397], [118.762369, 32.088542]]]"
19,DIKUAI_2023_0021,0021,Polygon,EPSG:4326 (WGS84经纬度),4016.82,118.7556,118.756931,32.084158,32.084903,"[[[118.755798, 32.084903], [118.756709, 32.084317], [118.756886, 32.084435], [118.756931, 32.084371], [118.756713, 32.084189], [118.756671, 32.084171], [118.756614, 32.084159], [118.756588, 32.084158], [118.756475, 32.084183], [118.756464, 32.084188], [118.756387, 32.084248], [118.756029, 32.084501], [118.755726, 32.084717], [118.7556, 32.084806], [118.755798, 32.084903]]]"
21,DIKUAI_2023_4010,4010,Polygon,EPSG:4326 (WGS84经纬度),4848.29,118.754634,118.755572,32.085325,32.086656,"[[[118.754665, 32.086656], [118.754696, 32.086614], [118.755128, 32.086045], [118.755174, 32.085995], [118.755315, 32.085843], [118.75542, 32.085731], [118.755522, 32.085628], [118.755569, 32.085578], [118.755572, 32.085566], [118.755566, 32.085549], [118.755507, 32.085495], [118.755507, 32.085495], [118.755459, 32.085455], [118.755394, 32.085421], [118.755319, 32.085382], [118.755248, 32.08534], [118.755207, 32.085325], [118.755204, 32.085325], [118.755201, 32.085325], [118.755198, 32.085326], [118.755195, 32.085327], [118.755192, 32.085328], [118.75519, 32.08533], [118.755188, 32.085332], [118.754923, 32.085946], [118.754884, 32.086042], [118.754675, 32.086534], [118.754634, 32.08663], [118.754647, 32.086648], [118.75466, 32.086655], [118.754665, 32.086656]]]"
22,DIKUAI_2023_0024,0024,Polygon,EPSG:4326 (WGS84经纬度),3636.38,118.747492,118.748098,32.089147,32.089824,"[[[118.747863, 32.089824], [118.747991, 32.089544], [118.748098, 32.089258], [118.747691, 32.089147], [118.747492, 32.089722], [118.747863, 32.089824]]]"
23,DIKUAI_2023_0025,0025,Polygon,EPSG:4326 (WGS84经纬度),26748.86,118.769087,118.770893,32.084321,32.085421,"[[[118.769697, 32.085421], [118.770053, 32.085411], [118.770161, 32.085407], [118.770461, 32.085388], [118.770555, 32.085367], [118.770652, 32.085332], [118.770698, 32.085315], [118.770723, 32.085305], [118.770763, 32.085283], [118.770829, 32.085263], [118.770889, 32.085254], [118.770893, 32.085214], [118.77089, 32.085125], [118.770873, 32.084652], [118.770868, 32.084321], [118.769087, 32.084397], [118.769097, 32.08536], [118.769697, 32.085421]]]"
24,DIKUAI_2023_0026,0026,Polygon,EPSG:4326 (WGS84经纬度),2573.01,118.74865,118.74908,32.08907,32.08968,"[[[118.74865, 32.08968], [118.74908, 32.089609], [118.749001, 32.089139], [118.748986, 32.089126], [118.748969, 32.089115], [118.74895, 32.089107], [118.74893, 32.089101], [118.748909, 32.089097], [118.748786, 32.08907], [118.74865, 32.08968]]]"
25,DIKUAI_2023_0027,0027,Polygon,EPSG:4326 (WGS84经纬度),8220.6,118.74847,118.749196,32.089609,32.090738,"[[[118.749196, 32.090738], [118.74908, 32.089609], [118.74865, 32.08968], [118.74847, 32.090484], [118.749196, 32.090738]]]"
26,DIKUAI_2023_0028,0028,Polygon,EPSG:4326 (WGS84经纬度),4992.38,118.766924,118.76733,32.0803,32.081168,"[[[118.766924, 32.081168], [118.76733, 32.081166], [118.767318, 32.080339], [118.767106, 32.0803], [118.766924, 32.080308], [118.766924, 32.081168]]]"
27,DIKUAI_2023_0029,0029,Polygon,EPSG:4326 (WGS84经纬度),31877.66,118.772645,118.774847,32.085317,32.086851,"[[[118.772645, 32.086851], [118.773091, 32.086778], [118.773154, 32.086506], [118.77475, 32.086586], [118.774767, 32.086386], [118.774835, 32.085529], [118.774847, 32.085421], [118.774839, 32.085383], [118.77476, 32.085329], [118.774724, 32.085317], [118.774371, 32.085333], [118.773981, 32.085353], [118.773278, 32.085415], [118.773216, 32.086204], [118.772686, 32.086148], [118.772645, 32.086851]]]"
28,DIKUAI_2023_0030,0030,Polygon,EPSG:4326 (WGS84经纬度),1276.23,118.755726,118.75632,32.083947,32.084423,"[[[118.755832, 32.084423], [118.756258, 32.084116], [118.756314, 32.084059], [118.75632, 32.084028], [118.756308, 32.083998], [118.756246, 32.083947], [118.755726, 32.084338], [118.755832, 32.084423]]]"
29,DIKUAI_2023_0031,0031,Polygon,EPSG:4326 (WGS84经纬度),5549.41,118.753604,118.75447,32.086401,32.087646,"[[[118.753976, 32.087637], [118.753979, 32.087633], [118.754059, 32.087443], [118.754441, 32.086549], [118.75447, 32.08648], [118.753892, 32.086401], [118.753942, 32.086498], [118.754002, 32.08667], [118.754034, 32.086736], [118.754035, 32.086788], [118.754035, 32.086847], [118.754034, 32.086869], [118.75401, 32.086967], [118.753954, 32.087105], [118.753792, 32.087394], [118.753725, 32.087534], [118.753632, 32.087501], [118.753604, 32.087546], [118.753718, 32.087579], [118.75394, 32.087644], [118.753944, 32.087646], [118.753949, 32.087646], [118.753954, 32.087646], [118.753959, 32.087646], [118.753964, 32.087644], [118.753969, 32.087642], [118.753973, 32.08764], [118.753976, 32.087637]]]"
30,DIKUAI_2023_0032,0032,Polygon,EPSG:4326 (WGS84经纬度),3861.73,118.754641,118.755513,32.080746,32.081304,"[[[118.755168, 32.081304], [118.755513, 32.081005], [118.754849, 32.080746], [118.754849, 32.080746], [118.754641, 32.081133], [118.755168, 32.081304]]]"
31,DIKUAI_2023_0033,0033,Polygon,EPSG:4326 (WGS84经纬度),106125.89,118.775279,118.778846,32.080827,32.083331,"[[[118.778807, 32.083244], [118.778846, 32.080865], [118.776567, 32.080848], [118.776275, 32.080827], [118.776185, 32.08194], [118.775751, 32.08193], [118.77572, 32.082447], [118.77534, 32.08242], [118.775281, 32.083114], [118.775279, 32.083121], [118.775279, 32.083128], [118.77528, 32.083135], [118.775283, 32.083142], [118.775287, 32.083149], [118.775292, 32.083154], [118.775298, 32.083159], [118.775305, 32.083163], [118.775313, 32.083166], [118.775322, 32.083168], [118.77533, 32.083168], [118.776558, 32.083242], [118.777545, 32.083289], [118.778007, 32.083308], [118.778417, 32.08332], [118.778666, 32.083331], [118.778744, 32.083328], [118.778791, 32.083307], [118.778807, 32.083244]]]"
32,DIKUAI_2023_0034,0034,Polygon,EPSG:4326 (WGS84经纬度),17998.57,118.755539,118.757749,32.084946,32.086071,"[[[118.756135, 32.086071], [118.75628, 32.08605], [118.756324, 32.086044], [118.756398, 32.086034], [118.756464, 32.086029], [118.756607, 32.086008], [118.75696, 32.086], [118.757445, 32.085991], [118.757563, 32.085989], [118.757596, 32.08598], [118.757627, 32.085967], [118.757655, 32.085951], [118.75768, 32.085931], [118.757702, 32.085908], [118.757719, 32.085883], [118.757732, 32.085855], [118.757743, 32.085561], [118.757749, 32.085393], [118.757062, 32.085408], [118.757025, 32.084946], [118.756743, 32.085169], [118.756433, 32.085397], [118.756288, 32.085479], [118.756072, 32.08556], [118.755891, 32.085593], [118.75578, 32.085597], [118.75567, 32.085571], [118.75568, 32.08558], [118.755623, 32.085626], [118.755539, 32.085694], [118.755563, 32.085705], [118.75563, 32.085725], [118.755666, 32.085729], [118.755792, 32.085741], [118.755907, 32.085753], [118.755975, 32.085759], [118.755968, 32.085836], [118.755954, 32.085911], [118.755946, 32.08594], [118.755943, 32.085969], [118.755946, 32.085999], [118.755952, 32.086021], [118.755962, 32.086032], [118.755973, 32.086042], [118.755987, 32.08605], [118.756001, 32.086056], [118.756076, 32.086069], [118.756135, 32.086071]]]"
33,DIKUAI_2023_0035,0035,Polygon,EPSG:4326 (WGS84经纬度),7983.46,118.779034,118.779581,32.083798,32.084844,"[[[118.779581, 32.083798], [118.77958, 32.083798], [118.779034, 32.083801], [118.779036, 32.084779], [118.779041, 32.084826], [118.779041, 32.084844], [118.779552, 32.08484], [118.779552, 32.084307], [118.77958, 32.083802], [118.779581, 32.083798]]]"
34,DIKUAI_2023_0036,0036,Polygon,EPSG:4326 (WGS84经纬度),42116.87,118.760411,118.763708,32.087861,32.090608,"[[[118.763176, 32.090608], [118.763708, 32.090038], [118.762211, 32.08876], [118.761134, 32.087861], [118.761079, 32.08833], [118.760551, 32.088218], [118.760411, 32.088519], [118.760868, 32.088673], [118.760823, 32.088779], [118.761457, 32.088975], [118.761244, 32.089358], [118.761754, 32.08958], [118.762864, 32.090383], [118.763176, 32.090608]]]"
35,DIKUAI_2023_0037,0037,Polygon,EPSG:4326 (WGS84经纬度),9912.56,118.750184,118.751389,32.08396,32.085147,"[[[118.750736, 32.085147], [118.751389, 32.084581], [118.750468, 32.08396], [118.750232, 32.084083], [118.750613, 32.084289], [118.750184, 32.084684], [118.750736, 32.085147]]]"
36,DIKUAI_2023_0039,0039,Polygon,EPSG:4326 (WGS84经纬度),25169.25,118.760261,118.762519,32.090537,32.09186,"[[[118.761988, 32.09186], [118.762519, 32.091822], [118.762406, 32.09103], [118.761469, 32.090926], [118.761512, 32.090689], [118.760936, 32.090537], [118.760761, 32.091052], [118.760526, 32.091012], [118.760261, 32.091434], [118.761197, 32.091665], [118.761988, 32.09186]]]"
37,DIKUAI_2023_0040,0040,Polygon,EPSG:4326 (WGS84经纬度),5242.61,118.758832,118.759933,32.081388,32.082047,"[[[118.759055, 32.082047], [118.759244, 32.081969], [118.759645, 32.081836], [118.75984, 32.081774], [118.759933, 32.081738], [118.759818, 32.081519], [118.759727, 32.081388], [118.758832, 32.081746], [118.758917, 32.08186], [118.759055, 32.082047]]]"
38,DIKUAI_2023_0041,0041,Polygon,EPSG:4326 (WGS84经纬度),5776.24,118.760297,118.761134,32.087536,32.08833,"[[[118.761079, 32.08833], [118.761134, 32.087861], [118.760744, 32.087536], [118.760681, 32.087597], [118.760612, 32.087684], [118.760577, 32.087735], [118.760549, 32.087784], [118.760422, 32.087961], [118.760342, 32.088072], [118.760297, 32.088167], [118.760551, 32.088218], [118.761079, 32.08833]]]"
39,DIKUAI_2023_0042,0042,Polygon,EPSG:4326 (WGS84经纬度),17629.38,118.765936,118.7673,32.085205,32.086278,"[[[118.767238, 32.086278], [118.767243, 32.086214], [118.7673, 32.085292], [118.766235, 32.085205], [118.765936, 32.086235], [118.767238, 32.086278]]]"
40,DIKUAI_2023_0043,0043,Polygon,EPSG:4326 (WGS84经纬度),3075.24,118.774571,118.775062,32.082536,32.083017,"[[[118.774571, 32.083017], [118.774895, 32.083016], [118.774922, 32.08301], [118.774947, 32.083], [118.77497, 32.082988], [118.77499, 32.082972], [118.775008, 32.082954], [118.775022, 32.082934], [118.775032, 32.082913], [118.775038, 32.08289], [118.775062, 32.082565], [118.774599, 32.082536], [118.774571, 32.083017]]]"
41,DIKUAI_2023_0044,0044,Polygon,EPSG:4326 (WGS84经纬度),4907.98,118.773145,118.77374,32.080902,32.081523,"[[[118.773699, 32.081523], [118.77374, 32.080933], [118.77317, 32.080902], [118.773155, 32.081242], [118.773145, 32.081503], [118.773699, 32.081523]]]"
42,DIKUAI_2023_0045,0045,Polygon,EPSG:4326 (WGS84经纬度),15652.11,118.754315,118.756166,32.085747,32.087376,"[[[118.754315, 32.087376], [118.756144, 32.086253], [118.756166, 32.086098], [118.756135, 32.086099], [118.755965, 32.086082], [118.755933, 32.086038], [118.755926, 32.085976], [118.755942, 32.085841], [118.755932, 32.08581], [118.755923, 32.085794], [118.755917, 32.085787], [118.75591, 32.085783], [118.755765, 32.085785], [118.755635, 32.085787], [118.755508, 32.085753], [118.755478, 32.085747], [118.755454, 32.085765], [118.75541, 32.085799], [118.755228, 32.085993], [118.755076, 32.086174], [118.754819, 32.086509], [118.754675, 32.08671], [118.754649, 32.086707], [118.754632, 32.086703], [118.754625, 32.086703], [118.754619, 32.086703], [118.754613, 32.086705], [118.754608, 32.086708], [118.754603, 32.086711], [118.754599, 32.086715], [118.754596, 32.086719], [118.754549, 32.086827], [118.754465, 32.087025], [118.754377, 32.08723], [118.754315, 32.087376]]]"
43,DIKUAI_2023_0046,0046,Polygon,EPSG:4326 (WGS84经纬度),38964.31,118.743355,118.746821,32.094934,32.096573,"[[[118.746291, 32.096573], [118.746821, 32.095654], [118.744851, 32.095245], [118.74378, 32.095022], [118.743355, 32.094934], [118.743369, 32.095542], [118.746291, 32.096573]]]"
44,DIKUAI_2023_0047,0047,Polygon,EPSG:4326 (WGS84经纬度),13074.61,118.768649,118.769772,32.088072,32.089157,"[[[118.769003, 32.089157], [118.769164, 32.089117], [118.769414, 32.089066], [118.769772, 32.089014], [118.769682, 32.088072], [118.768649, 32.088156], [118.769003, 32.089157]]]"
45,DIKUAI_2023_0048,0048,Polygon,EPSG:4326 (WGS84经纬度),21330.91,118.777925,118.778752,32.087012,32.089081,"[[[118.778533, 32.089081], [118.77861, 32.089067], [118.778653, 32.089046], [118.778707, 32.08902], [118.778746, 32.088977], [118.778752, 32.088946], [118.778748, 32.087039], [118.778104, 32.087012], [118.778059, 32.088381], [118.777929, 32.088588], [118.777925, 32.089075], [118.778533, 32.089081]]]"
